org_event_name,year,date,event_name,from,to
Chanukah End,2011,2011-12-28,Chanukah,2011-12-20,2011-12-28
Chanukah End,2012,2012-12-16,Chanukah,2012-12-08,2012-12-16
Chanukah End,2013,2013-12-05,Chanukah,2013-11-27,2013-12-05
Chanukah End,2014,2014-12-24,Chanukah,2014-12-16,2014-12-24
Chanukah End,2015,2015-12-14,Chanukah,2015-12-06,2015-12-14
Christmas,2011,2011-12-25,Christmas,2011-12-25,2011-12-25
Christmas,2012,2012-12-25,Christmas,2012-12-25,2012-12-25
Christmas,2013,2013-12-25,Christmas,2013-12-25,2013-12-25
Christmas,2014,2014-12-25,Christmas,2014-12-25,2014-12-25
Christmas,2015,2015-12-25,Christmas,2015-12-25,2015-12-25
Cinco De Mayo,2011,2011-05-05,Cinco De Mayo,2011-05-05,2011-05-05
Cinco De Mayo,2012,2012-05-05,Cinco De Mayo,2012-05-05,2012-05-05
Cinco De Mayo,2013,2013-05-05,Cinco De Mayo,2013-05-05,2013-05-05
Cinco De Mayo,2014,2014-05-05,Cinco De Mayo,2014-05-05,2014-05-05
Cinco De Mayo,2015,2015-05-05,Cinco De Mayo,2015-05-05,2015-05-05
Cinco De Mayo,2016,2016-05-05,Cinco De Mayo,2016-05-05,2016-05-05
ColumbusDay,2011,2011-10-10,ColumbusDay,2011-10-10,2011-10-10
ColumbusDay,2012,2012-10-08,ColumbusDay,2012-10-08,2012-10-08
ColumbusDay,2013,2013-10-14,ColumbusDay,2013-10-14,2013-10-14
ColumbusDay,2014,2014-10-13,ColumbusDay,2014-10-13,2014-10-13
ColumbusDay,2015,2015-10-12,ColumbusDay,2015-10-12,2015-10-12
Easter,2011,2011-04-24,Easter,2011-04-24,2011-04-24
Easter,2012,2012-04-08,Easter,2012-04-08,2012-04-08
Easter,2013,2013-03-31,Easter,2013-03-31,2013-03-31
Easter,2014,2014-04-20,Easter,2014-04-20,2014-04-20
Easter,2015,2015-04-05,Easter,2015-04-05,2015-04-05
Easter,2016,2016-03-27,Easter,2016-03-27,2016-03-27
Eid al-Fitr,2011,2011-08-31,Eid al-Fitr,2011-09-01,2011-09-04
Eid al-Fitr,2012,2012-08-19,Eid al-Fitr,2012-08-20,2012-08-23
Eid al-Fitr,2013,2013-08-08,Eid al-Fitr,2013-08-09,2013-08-12
Eid al-Fitr,2014,2014-07-29,Eid al-Fitr,2014-07-30,2014-08-02
Eid al-Fitr,2015,2015-07-18,Eid al-Fitr,2015-07-19,2015-07-22
EidAlAdha,2011,2011-11-07,EidAlAdha,2011-11-07,2011-11-11
EidAlAdha,2012,2012-10-26,EidAlAdha,2012-10-26,2012-10-30
EidAlAdha,2013,2013-10-15,EidAlAdha,2013-10-15,2013-10-19
EidAlAdha,2014,2014-10-04,EidAlAdha,2014-10-04,2014-10-08
EidAlAdha,2015,2015-09-24,EidAlAdha,2015-09-24,2015-09-28
Father's day,2011,2011-06-19,Father's day,2011-06-19,2011-06-19
Father's day,2012,2012-06-17,Father's day,2012-06-17,2012-06-17
Father's day,2013,2013-06-16,Father's day,2013-06-16,2013-06-16
Father's day,2014,2014-06-15,Father's day,2014-06-15,2014-06-15
Father's day,2015,2015-06-21,Father's day,2015-06-21,2015-06-21
Father's day,2016,2016-06-19,Father's day,2016-06-19,2016-06-19
Halloween,2011,2011-10-31,Halloween,2011-10-31,2011-10-31
Halloween,2012,2012-10-31,Halloween,2012-10-31,2012-10-31
Halloween,2013,2013-10-31,Halloween,2013-10-31,2013-10-31
Halloween,2014,2014-10-31,Halloween,2014-10-31,2014-10-31
Halloween,2015,2015-10-31,Halloween,2015-10-31,2015-10-31
IndependenceDay,2011,2011-07-04,IndependenceDay,2011-07-04,2011-07-04
IndependenceDay,2012,2012-07-04,IndependenceDay,2012-07-04,2012-07-04
IndependenceDay,2013,2013-07-04,IndependenceDay,2013-07-04,2013-07-04
IndependenceDay,2014,2014-07-04,IndependenceDay,2014-07-04,2014-07-04
IndependenceDay,2015,2015-07-04,IndependenceDay,2015-07-04,2015-07-04
LaborDay,2011,2011-09-05,LaborDay,2011-09-05,2011-09-05
LaborDay,2012,2012-09-03,LaborDay,2012-09-03,2012-09-03
LaborDay,2013,2013-09-02,LaborDay,2013-09-02,2013-09-02
LaborDay,2014,2014-09-01,LaborDay,2014-09-01,2014-09-01
LaborDay,2015,2015-09-07,LaborDay,2015-09-07,2015-09-07
LentStart,2011,2011-03-09,Lent,2011-03-09,2011-04-23
LentStart,2012,2012-02-22,Lent,2012-02-22,2012-04-07
LentStart,2013,2013-02-13,Lent,2013-02-13,2013-03-30
LentStart,2014,2014-03-05,Lent,2014-03-05,2014-04-19
LentStart,2015,2015-02-18,Lent,2015-02-18,2015-04-04
LentStart,2016,2016-02-10,Lent,2016-02-10,2016-03-26
LentWeek2,2011,2011-03-16,Lent,,
LentWeek2,2012,2012-02-29,Lent,,
LentWeek2,2013,2013-02-20,Lent,,
LentWeek2,2014,2014-03-12,Lent,,
LentWeek2,2015,2015-02-25,Lent,,
LentWeek2,2016,2016-02-17,Lent,,
MartinLutherKingDay,2012,2012-01-16,MartinLutherKingDay,2012-01-16,2012-01-16
MartinLutherKingDay,2013,2013-01-21,MartinLutherKingDay,2013-01-21,2013-01-21
MartinLutherKingDay,2014,2014-01-20,MartinLutherKingDay,2014-01-20,2014-01-20
MartinLutherKingDay,2015,2015-01-19,MartinLutherKingDay,2015-01-19,2015-01-19
MartinLutherKingDay,2016,2016-01-18,MartinLutherKingDay,2016-01-18,2016-01-18
MemorialDay,2011,2011-05-30,MemorialDay,2011-05-30,2011-05-30
MemorialDay,2012,2012-05-28,MemorialDay,2012-05-28,2012-05-28
MemorialDay,2013,2013-05-27,MemorialDay,2013-05-27,2013-05-27
MemorialDay,2014,2014-05-26,MemorialDay,2014-05-26,2014-05-26
MemorialDay,2015,2015-05-25,MemorialDay,2015-05-25,2015-05-25
MemorialDay,2016,2016-05-30,MemorialDay,2016-05-30,2016-05-30
Mother's day,2011,2011-05-08,Mother's day,2011-05-08,2011-05-08
Mother's day,2012,2012-05-13,Mother's day,2012-05-13,2012-05-13
Mother's day,2013,2013-05-12,Mother's day,2013-05-12,2013-05-12
Mother's day,2014,2014-05-11,Mother's day,2014-05-11,2014-05-11
Mother's day,2015,2015-05-10,Mother's day,2015-05-10,2015-05-10
Mother's day,2016,2016-05-08,Mother's day,2016-05-08,2016-05-08
NBAFinalsStart,2011,2011-05-31,NBAFinal,2011-05-31,2011-06-12
NBAFinalsStart,2012,2012-06-12,NBAFinal,2012-06-12,2012-06-21
NBAFinalsStart,2013,2013-06-06,NBAFinal,2013-06-06,2013-06-20
NBAFinalsStart,2014,2014-06-05,NBAFinal,2014-06-05,2014-06-15
NBAFinalsStart,2015,2015-06-04,NBAFinal,2015-06-04,2015-06-16
NBAFinalsStart,2016,2016-06-02,NBAFinal,2016-06-02,2016-06-19
NBAFinalsEnd,2011,2011-06-12,NBAFinal,,
NBAFinalsEnd,2012,2012-06-21,NBAFinal,,
NBAFinalsEnd,2013,2013-06-20,NBAFinal,,
NBAFinalsEnd,2014,2014-06-15,NBAFinal,,
NBAFinalsEnd,2015,2015-06-16,NBAFinal,,
NBAFinalsEnd,2016,2016-06-19,NBAFinal,,
NewYear,2012,2012-01-01,NewYear,2012-01-01,2012-01-01
NewYear,2013,2013-01-01,NewYear,2013-01-01,2013-01-01
NewYear,2014,2014-01-01,NewYear,2014-01-01,2014-01-01
NewYear,2015,2015-01-01,NewYear,2015-01-01,2015-01-01
NewYear,2016,2016-01-01,NewYear,2016-01-01,2016-01-01
OrthodoxChristmas,2012,2012-01-07,OrthodoxChristmas,2012-01-07,2012-01-07
OrthodoxChristmas,2013,2013-01-07,OrthodoxChristmas,2013-01-07,2013-01-07
OrthodoxChristmas,2014,2014-01-07,OrthodoxChristmas,2014-01-07,2014-01-07
OrthodoxChristmas,2015,2015-01-07,OrthodoxChristmas,2015-01-07,2015-01-07
OrthodoxChristmas,2016,2016-01-07,OrthodoxChristmas,2016-01-07,2016-01-07
OrthodoxEaster,2011,2011-04-24,OrthodoxEaster,2011-04-24,2011-04-24
OrthodoxEaster,2012,2012-04-15,OrthodoxEaster,2012-04-15,2012-04-15
OrthodoxEaster,2013,2013-05-05,OrthodoxEaster,2013-05-05,2013-05-05
OrthodoxEaster,2014,2014-04-20,OrthodoxEaster,2014-04-20,2014-04-20
OrthodoxEaster,2015,2015-04-12,OrthodoxEaster,2015-04-12,2015-04-12
OrthodoxEaster,2016,2016-05-01,OrthodoxEaster,2016-05-01,2016-05-01
Pesach End,2011,2011-04-26,Pesach,2011-04-20,2011-04-26
Pesach End,2012,2012-04-14,Pesach,2012-04-08,2012-04-14
Pesach End,2013,2013-04-02,Pesach,2013-03-27,2013-04-02
Pesach End,2014,2014-04-22,Pesach,2014-04-16,2014-04-22
Pesach End,2015,2015-04-11,Pesach,2015-04-05,2015-04-11
Pesach End,2016,2016-04-30,Pesach,2016-04-24,2016-04-30
PresidentsDay,2011,2011-02-21,PresidentsDay,2011-02-21,2011-02-21
PresidentsDay,2012,2012-02-20,PresidentsDay,2012-02-20,2012-02-20
PresidentsDay,2013,2013-02-18,PresidentsDay,2013-02-18,2013-02-18
PresidentsDay,2014,2014-02-17,PresidentsDay,2014-02-17,2014-02-17
PresidentsDay,2015,2015-02-16,PresidentsDay,2015-02-16,2015-02-16
PresidentsDay,2016,2016-02-15,PresidentsDay,2016-02-15,2016-02-15
Purim End,2011,2011-03-20,Purim,2011-03-20,2011-03-20
Purim End,2012,2012-03-08,Purim,2012-03-08,2012-03-08
Purim End,2013,2013-02-24,Purim,2013-02-24,2013-02-24
